model,scheme,layer,resample,baseline_len,baseline_gsm8k,peak_len,peak_len_alpha,first_collapse_abs_alpha,gsm8k_safe_abs_alpha,residual_norm,parser,probe,run_tag
gemma-2-9b-it,fp16,21,2,153.5,0.81,253.0,120.0,-300.0,120.0,405.96,v2.3.1,gsm8k,gemma-2-9b-it_fp16_length_L21_r2
gemma-2-9b-it,fp16,21,3,161.0,0.825,198.0,250.0,-300.0,120.0,405.96,v2.3.1,gsm8k,gemma-2-9b-it_fp16_length_L21_r3
gemma-2-9b-it,fp16,21,4,146.0,0.85,154.0,250.0,-300.0,0.0,405.96,v2.3.1,gsm8k,gemma-2-9b-it_fp16_length_L21_r4
gemma-2-9b-it,fp16,21,5,122.0,0.785,244.0,250.0,300.0,120.0,405.96,v2.3.1,gsm8k,gemma-2-9b-it_fp16_length_L21_r5
gemma-2-9b-it,int8,21,1,124.5,0.805,176.0,250.0,-300.0,0.0,404.01,v2.3.1,gsm8k,gemma-2-9b-it_w8a16_bnb_int8_length_L21_r1
gemma-2-9b-it,int8,21,2,141.0,0.815,248.0,250.0,-300.0,0.0,404.01,v2.3.1,gsm8k,gemma-2-9b-it_w8a16_bnb_int8_length_L21_r2
gemma-2-9b-it,int8,21,3,131.0,0.835,138.0,20.0,-300.0,100.0,404.01,v2.3.1,gsm8k,gemma-2-9b-it_w8a16_bnb_int8_length_L21_r3
gemma-2-9b-it,int8,21,4,136.0,0.87,151.0,250.0,-300.0,0.0,404.01,v2.3.1,gsm8k,gemma-2-9b-it_w8a16_bnb_int8_length_L21_r4
gemma-2-9b-it,int8,21,5,122.0,0.795,240.0,250.0,300.0,120.0,404.01,v2.3.1,gsm8k,gemma-2-9b-it_w8a16_bnb_int8_length_L21_r5
gemma-2-9b-it,nf4,21,1,130.0,0.735,205.0,200.0,250.0,0.0,400.01,v2.3.1,gsm8k,gemma-2-9b-it_w4a16_bnb_nf4_length_L21_r1
gemma-2-9b-it,nf4,21,2,140.5,0.755,377.0,300.0,-300.0,80.0,400.01,v2.3.1,gsm8k,gemma-2-9b-it_w4a16_bnb_nf4_length_L21_r2
gemma-2-9b-it,nf4,21,3,141.0,0.795,227.0,250.0,-300.0,120.0,400.01,v2.3.1,gsm8k,gemma-2-9b-it_w4a16_bnb_nf4_length_L21_r3
gemma-2-9b-it,nf4,21,4,140.0,0.82,174.0,250.0,-300.0,0.0,400.01,v2.3.1,gsm8k,gemma-2-9b-it_w4a16_bnb_nf4_length_L21_r4
gemma-2-9b-it,nf4,21,5,133.0,0.73,190.0,250.0,300.0,120.0,400.01,v2.3.1,gsm8k,gemma-2-9b-it_w4a16_bnb_nf4_length_L21_r5
